osoba_id,nazwa_firmy,stanowisko
cd55b29d-a640-472f-9b89-80e693488b33,Johnson Group,"Pharmacist, community"
ebd5c957-e1d7-45d2-a058-01c043f733d2,Smith-Hall,Risk analyst
57c55efb-450e-4a17-80d4-c8b17d7f62c5,Tran-Dean,Network engineer
a0932e8a-6bb9-4587-b717-790557dc534f,Nelson Group,"Scientist, biomedical"
57941bb6-01b6-4514-9591-009d3ce424f8,Turner Ltd,Manufacturing engineer
4621fa86-f4e9-4bd6-b9d2-04e6b9ca5bf1,"Esparza, Mcgee and Archer",Software engineer
2a60cf2a-0e15-496b-bd3d-8085ce68805b,Mercado-Smith,Chartered certified accountant
f090523a-df86-4ba6-8617-bfd002cd1d66,West-Berry,Medical sales representative
d26e5260-8545-4478-b877-187afe0b25a9,Taylor Group,Higher education careers adviser
43d673de-e530-4c43-81f9-0654d978bcdb,Shepherd Ltd,"Teacher, adult education"
e99d89be-d749-4b54-bda3-c54bd9261c68,Williams Ltd,"Social research officer, government"
76f7b267-2b06-4919-852b-aa829bd307ce,"Wagner, Ferguson and Whitney",Hospital pharmacist
96ea5f41-5984-45b0-b712-d6fe24bd7569,Bell-Francis,"Restaurant manager, fast food"
2b96d2ee-eb54-4406-bd77-b468cfbbcf45,Diaz-Sullivan,Records manager
ada4c917-ecc5-40b8-8207-9f6e0d5339c7,Davis-Malone,Communications engineer
688d8bb8-8cd4-4e70-a848-ff5a09202519,Mitchell-Santos,Theatre manager
588901c5-8b56-4d96-b245-8e236f742930,Harris Inc,"Psychologist, clinical"
865153af-e395-40f0-84cd-0466fe4ea7d6,Gregory-Lawson,Interpreter
da351d80-8102-4a85-94af-d7c3e11b9e47,Scott and Sons,"Production assistant, television"
54dba160-5951-4f88-a29c-cf6dc2d79bb8,Reyes Ltd,"Surveyor, commercial/residential"
6a3afe9a-5156-43e0-ae72-6c092376a3ce,"Adkins, Sosa and Butler","Psychotherapist, dance movement"
ddc087d2-c88a-4afc-9f41-b9be29fdb81a,Rangel Inc,Materials engineer
255b0023-482a-41d8-b8a6-f69927115cff,Clements LLC,Financial adviser
af923211-dd40-4317-ba26-ddd39a1b630e,"Wise, Hart and Perez",Government social research officer
5808efd0-8bc8-4989-bd90-823da6a9fdd0,"Williams, Ramirez and Nixon","Optician, dispensing"
914317c0-53b5-4270-a91e-3f320efdd311,Murray-Smith,Camera operator
d4b3b25d-d410-4676-a154-3c417035b971,Davis Inc,Metallurgist
d7e447cc-b328-4693-a568-1a63c5e29280,Davis and Sons,Information systems manager
4ac9b460-0105-4cf7-b976-4e458ea5fa95,Lopez-Cole,Landscape architect
a8851022-977c-424c-bfbc-b22788328a2c,Bradshaw-Rose,"Librarian, academic"
b483d193-0fee-4895-ad89-d9e1fd6f4ea5,"Rodgers, Thompson and Moore",Physiotherapist
e4f6febd-446c-4b42-8d71-8f02b658c6ca,Johnson-Ingram,Waste management officer
2eda0493-1ef4-43b6-b9a2-f6b4c5a69ef2,Hancock and Sons,"Teacher, special educational needs"
5862505c-0ad2-4962-bdf8-5939f02b3d85,"Kerr, Weaver and Gordon",Veterinary surgeon
0d58a4a0-c3f2-45e8-addc-98119c3159c3,Woods LLC,Audiological scientist
ea7610ee-1c96-4ab1-b046-0991bd3efc9c,"Faulkner, Mcneil and Meyer",Architect
2ba2703e-43a1-4cd8-8b5a-d29956f6bb8e,Bray-Nelson,Quarry manager
c238f2c2-db1b-4ded-9119-82b3b1705696,Wilson Ltd,Learning mentor
73b8cfaa-f0ae-410b-9e83-22912a50ab97,Torres LLC,"Psychotherapist, child"
4cafaaaf-f60c-4e1a-a9e3-d0cbaf747f9b,"Davis, Flores and Flores",Arts development officer
14d64fb8-3ffc-42e0-88bd-7b5cc547d333,"Johnson, Stone and Russo","Embryologist, clinical"
916478ba-a5ff-4c8c-8018-0cf07fe39ef2,Winters Inc,Maintenance engineer
430d6c85-2d4b-47b2-bced-3f459d968968,Turner LLC,Fashion designer
1f4e7f65-a0d9-42a1-9880-a78523fe1b55,Harrison-Campbell,"Lighting technician, broadcasting/film/video"
27293488-9c48-48b7-afcb-6d35c59b4c91,"Miller, Goodman and Coleman",Forensic psychologist
728ed6c8-ce18-4a7a-9ad6-29959c36fef6,Young LLC,Barrister
1831c786-17ad-4f15-8b1f-4f53c69421a9,Dunn PLC,Youth worker
eb8c8b13-a7cf-4a1e-8889-80a3d90739c0,Patterson-Edwards,Lobbyist
cbb3d0a4-68a7-4dca-8f0c-d68021f29396,"Garcia, Taylor and Schmidt","Librarian, public"
1b141696-0a44-4acc-a861-58f27c408d4f,"Donaldson, Barber and Rodgers",Curator
79123eb4-0fb7-43b4-9c43-92ad59e4feb4,Gallegos-Buchanan,Fast food restaurant manager
bb5b2b23-0755-411e-a0d2-740e3cc8f63e,"Pugh, Owens and Bass",Optometrist
b49ed422-fc1a-4a43-95fb-edfc0bead020,Thomas-Newman,"Teacher, primary school"
5f056488-b5d0-412f-85ca-30dcc7cce2ba,Rice-Perez,Industrial buyer
de9cb9a9-bb03-4d8b-b792-25c6af6ea7a1,Sanchez PLC,Health promotion specialist
ea75ae31-593e-43f5-98ca-c40605943a08,Oliver Inc,"Administrator, arts"
edcb4358-fea7-42d0-86d4-c0edc0b3a49c,Patton PLC,"Horticulturist, amenity"
