osoba_id,nazwa_firmy,stanowisko,branza
89f662df-402f-4314-be46-129dacf24801,Riddle-Golden,Teacher English as a foreign language,productize
5b9a111a-cbe3-4279-875c-0212222b04fa,Cox Smith and Irwin,Geographical information systems officer,target
4c8809da-dbe5-4055-b86e-7150e39a3db7,Hernandez Inc,TEFL teacher,brand
2fddd500-f66c-4407-9772-38727b950bd0,Myers and Sons,Chief Financial Officer,whiteboard
31d726f8-a769-4f16-8816-a29b5be73908,Cooper Horton and Church,Clinical psychologist,innovate
79c6aefa-fed8-4bd4-9ea3-9d44f31149ff,Lawson Knox and Brown,Engineer petroleum,productize
32e74eda-521b-465c-a862-60c34a7932e2,Cook Inc,Production designer theatre/television/film,drive
ad065396-c38e-44f6-b988-8f78789dfaca,Gutierrez Reed and Huffman,Immigration officer,brand
ca6a1610-645b-4a92-b269-f343a7f3524d,Edwards White and Prince,Embryologist clinical,syndicate
19286f89-fba7-4a3b-b212-a526d5c2b452,Chapman Inc,Engineer control and instrumentation,aggregate
3d495dfc-16f1-4d86-a6fb-fd0f278a540d,Martin and Sons,Retail banker,visualize
84324134-2bbe-44f0-a28f-ba87a2ffa7f6,Goodman Colon and Harrington,Proofreader,monetize
d1bdf00d-4692-4045-a322-59b6d08e8848,White Tate and Fields,Market researcher,monetize
26352661-2a90-4050-a918-5fe1a30a699b,Smith LLC,Curator,embrace
9fc765cd-6c30-4464-af3e-6bffcc84051f,Cantrell Inc,Sports administrator,matrix
4a8185fe-5e43-4213-affd-da00a6b49cbe,Jordan-Golden,Dramatherapist,drive
6bcd0362-41a6-442d-a7d9-8acf38d3e666,Foster Olsen and Wilson,Counsellor,incubate
26ee109c-021b-465f-a386-399bea902378,Hutchinson Martin and Graham,Education officer museum,enable
43072688-ffcb-405b-9d0d-269e74d174ee,Gray PLC,Nurse childrens,facilitate
5a970300-a451-4fbd-ae4f-3c7df66aa57f,Richardson-Schroeder,Research scientist (physical sciences),leverage
be3fafc3-dc01-438d-aabd-b3bf5bb63ef3,Bauer-Stevens,Industrial buyer,benchmark
f742c398-75ce-487d-91e9-25959fdddb9b,Butler and Sons,Claims inspector/assessor,grow
eb42a4df-cdad-4ff5-a0b9-02729f4d6ffb,Huynh Miller and Elliott,Amenity horticulturist,strategize
6c7373a7-1403-4dd6-be60-3df4d5d24826,Weaver-Johnson,Quantity surveyor,target
bbf7fb32-7578-4bc5-9579-efff00439e41,Hart LLC,Diplomatic Services operational officer,harness
ff486e98-cfd9-4f85-b6d9-47bcf8e81486,Taylor Hurst and Moss,Rural practice surveyor,matrix
d8de5b59-ca02-4578-a3c6-e21126f4d4f5,Franco-Jefferson,Hydrographic surveyor,grow
2a065200-fc86-49e2-a772-85b57142a71f,Fisher Cook and Jones,Haematologist,expedite
4c25e562-5242-40df-9c74-36e41df2efe5,Mendoza Scott and Ramirez,Commissioning editor,architect
ce014693-7a0a-40e9-8190-674158bb795b,Ponce and Sons,Rural practice surveyor,re-intermediate
285fb024-b593-4954-ae07-2b7b96befa06,Glenn-Taylor,Scientific laboratory technician,leverage
2dff4ed2-21b9-4eb9-a5cd-11558ae8fb44,Brooks Inc,Lecturer higher education,mesh
5cc2ccc6-651e-4f3f-acd0-8f675ad11d42,Mccall-Mendoza,English as a foreign language teacher,empower
79e671d2-cdb9-4e2e-8769-0c1c680e5436,Compton Allen and Malone,Clothing/textile technologist,engineer
7eff8a2c-ace4-4e33-8306-ad6f5235218c,Briggs Ltd,Estate manager/land agent,leverage
eefd21c7-01f5-484e-b9f4-1be9886072d6,Vincent Inc,Psychotherapist dance movement,synthesize
70745989-4316-483e-a5d8-3763d81e361e,Ortega Hoffman and Walsh,Psychologist occupational,engineer
1330b1aa-6438-4336-9f28-6988133207c3,Glover Schroeder and Cummings,Media planner,target
235b3467-e0a6-45f5-aa20-d51793baedb5,Johnson Ltd,Speech and language therapist,exploit
f9046244-753f-4485-ba16-73c52b589b7e,Miller Taylor and Allen,Teacher early years/pre,maximize
2197321e-c0b0-4420-b42f-5194114fd7ce,Huynh-Jordan,Producer radio,engage
1bfc83d6-d3a6-4a0b-8e6c-4ab719e53908,Garcia Rivera and Byrd,Nurse mental health,expedite
5145306d-c95d-410a-9c96-7cf8fd007645,Nguyen Patel and Garcia,Tourism officer,engage
0a263c70-aab2-4b2c-a160-878cf738482f,Munoz Davis and Rivera,Retail buyer,repurpose
59a98b30-a89b-4bc9-82bc-c486afae0b74,Meyer Inc,Health visitor,deploy
02ee37ea-1c8f-4294-af97-66270c78e0bc,King Inc,Engineer manufacturing systems,streamline
fb7ffbb1-ca2d-4292-94dc-ed4055160476,Bailey-Clark,Writer,optimize
bf764bd2-ed23-4583-bdff-abf601737176,Silva Anderson and Taylor,Trade union research officer,grow
04b0a053-fa92-4869-8d57-357275b357ec,Wilson-Whitney,Dramatherapist,incubate
470023a8-825b-4b57-8342-bafea50e22cc,Sosa Robinson and Clay,Designer exhibition/display,incentivize
438d926b-8440-4c93-b4f2-8d9cef6885cd,Aguilar Gonzalez and Rice,Clinical cytogeneticist,e-enable
f56b1100-08d8-4985-b905-fcb1836113ec,Clark-Stone,Field trials officer,strategize
8cc1ec96-fb19-438b-85a3-bb8e6a35c624,Crawford Ltd,Games developer,visualize
efb088ef-07a3-4392-aee4-82d81237a25b,Brown Montgomery and Freeman,Hydrogeologist,exploit
6dad10e3-4f17-4965-bf1b-5164c796ef70,Johnston-Torres,Personnel officer,engineer
8635438a-acf8-4be5-a29b-0d82ba1a6de4,Perez-Williams,Ranger/warden,reinvent
9b42d4be-cf43-4d0c-847a-23698fd52b92,Bryan and Sons,Scientist water quality,facilitate
aad52bcf-f4a2-4c01-8582-24f4dca0b564,Anderson and Sons,Pharmacist community,harness
